evaluations raw_y current_y raw_y_best current_y_best x0 x1
14 82.3314250708 231.4814250708 82.3314250708 231.4814250708 1.284325 5.000000
15 75.8291134129 224.9791134129 75.8291134129 224.9791134129 1.292243 5.000000
16 69.8283429806 218.9783429806 69.8283429806 218.9783429806 1.299843 5.000000
17 64.2825935659 213.4325935659 64.2825935659 213.4325935659 1.307149 5.000000
18 59.1522613245 208.3022613245 59.1522613245 208.3022613245 1.314185 5.000000
19 54.4032221641 203.5532221641 54.4032221641 203.5532221641 1.320966 5.000000
20 50.0060619489 199.1560619489 50.0060619489 199.1560619489 1.327509 5.000000
21 45.9355817065 195.0855817065 45.9355817065 195.0855817065 1.333822 5.000000
22 42.1691712885 191.3191712885 42.1691712885 191.3191712885 1.339917 5.000000
23 38.6866534302 187.8366534302 38.6866534302 187.8366534302 1.345799 5.000000
24 35.4701988821 184.6201988821 35.4701988821 184.6201988821 1.351474 5.000000
25 32.5048373661 181.6548373661 32.5048373661 181.6548373661 1.356943 5.000000
26 29.7716952344 178.9216952344 29.7716952344 178.9216952344 1.362215 5.000000
27 27.2595769473 176.4095769473 27.2595769473 176.4095769473 1.367287 5.000000
28 24.9532911777 174.1032911777 24.9532911777 174.1032911777 1.372164 5.000000
29 22.8398363531 171.9898363531 22.8398363531 171.9898363531 1.376846 5.000000
30 20.9080942981 170.0580942981 20.9080942981 170.0580942981 1.381334 5.000000
31 19.1417973920 168.2917973920 19.1417973920 168.2917973920 1.385638 5.000000
32 17.5314248581 166.6814248581 17.5314248581 166.6814248581 1.389758 5.000000
33 16.0629707396 165.2129707396 16.0629707396 165.2129707396 1.393702 5.000000
34 14.7270921802 163.8770921802 14.7270921802 163.8770921802 1.397472 5.000000
35 13.5135854540 162.6635854540 13.5135854540 162.6635854540 1.401071 5.000000
36 12.4118165730 161.5618165730 12.4118165730 161.5618165730 1.404507 5.000000
37 11.4120951120 160.5620951120 11.4120951120 160.5620951120 1.407787 5.000000
38 10.5057776038 159.6557776038 10.5057776038 159.6557776038 1.410916 5.000000
39 9.6842976453 158.8342976453 9.6842976453 158.8342976453 1.413902 5.000000
40 8.9419950029 158.0919950029 8.9419950029 158.0919950029 1.416743 5.000000
41 8.2663267337 157.4163267337 8.2663267337 157.4163267337 1.419469 5.000000
42 7.6564622192 156.8064622192 7.6564622192 156.8064622192 1.422063 5.000000
43 7.1048023980 156.2548023980 7.1048023980 156.2548023980 1.424537 5.000000
44 6.6049004747 155.7549004747 6.6049004747 155.7549004747 1.426904 5.000000
45 6.1531488032 155.3031488032 6.1531488032 155.3031488032 1.429163 5.000000
46 5.7444552313 154.8944552313 5.7444552313 154.8944552313 1.431322 5.000000
47 5.3749583431 154.5249583431 5.3749583431 154.5249583431 1.433386 5.000000
48 5.0414066557 154.1914066557 5.0414066557 154.1914066557 1.435359 5.000000
49 4.7398362877 153.8898362877 4.7398362877 153.8898362877 1.437247 5.000000
50 4.4675847488 153.6175847488 4.4675847488 153.6175847488 1.439055 5.000000
51 4.2219121764 153.3719121764 4.2219121764 153.3719121764 1.440786 5.000000
52 4.0005585669 153.1505585669 4.0005585669 153.1505585669 1.442444 5.000000
53 3.8011547806 152.9511547806 3.8011547806 152.9511547806 1.444032 5.000000
54 3.6209211342 152.7709211342 3.6209211342 152.7709211342 1.445562 5.000000
55 3.4590404524 152.6090404524 3.4590404524 152.6090404524 1.447029 5.000000
56 3.3137902038 152.4637902038 3.3137902038 152.4637902038 1.448435 5.000000
57 3.1836815938 152.3336815938 3.1836815938 152.3336815938 1.449785 5.000000
58 3.0666641710 152.2166641710 3.0666641710 152.2166641710 1.451089 5.000000
59 2.9618019228 152.1118019228 2.9618019228 152.1118019228 1.452346 5.000000
60 2.8696336790 152.0196336790 2.8696336790 152.0196336790 1.453539 5.000000
61 2.7871211891 151.9371211891 2.7871211891 151.9371211891 1.454695 5.000000
62 2.7139524814 151.8639524814 2.7139524814 151.8639524814 1.455809 5.000000
63 2.6489569841 151.7989569841 2.6489569841 151.7989569841 1.456888 5.000000
64 2.5925104197 151.7425104197 2.5925104197 151.7425104197 1.457917 5.000000
65 2.5428347794 151.6928347794 2.5428347794 151.6928347794 1.458914 5.000000
66 2.4996822168 151.6496822168 2.4996822168 151.6496822168 1.459876 5.000000
70 7.3961524069 156.5461524069 2.4996822168 151.6496822168 1.423214 5.000000
75 1.3404605613 150.4904605613 1.3404605613 150.4904605613 -1.203702 -1.334117
80 13.7007811621 162.8507811621 1.3404605613 150.4904605613 1.400504 5.000000
85 34.1205211213 183.2705211213 1.3404605613 150.4904605613 -1.346298 -1.855743
90 10.9027292671 160.0527292671 1.3404605613 150.4904605613 1.409526 5.000000
95 14.5063629443 163.6563629443 1.3404605613 150.4904605613 -1.251058 -1.694051
100 11.3924718390 160.5424718390 1.3404605613 150.4904605613 -1.234935 -1.654734
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 22704.4438049006 22853.5938049006 22704.4438049006 22853.5938049006 -4.912047 -1.555697
2 1230.8403031243 1379.9903031243 1230.8403031243 1379.9903031243 0.087953 3.444303
5 21.3548442757 170.5048442757 21.3548442757 170.5048442757 -3.517878 5.000000
10 25.6178678371 174.7678678371 21.3548442757 170.5048442757 -3.648888 5.000000
15 44.2671788215 193.4171788215 21.3548442757 170.5048442757 -3.687356 5.000000
20 55.5164430746 204.6664430746 21.3548442757 170.5048442757 -3.704802 5.000000
25 63.0073772337 212.1573772337 21.3548442757 170.5048442757 -3.715117 5.000000
30 68.2735894060 217.4235894060 21.3548442757 170.5048442757 -3.721896 5.000000
35 72.1483894599 221.2983894599 21.3548442757 170.5048442757 -3.726671 5.000000
40 75.1071591083 224.2571591083 21.3548442757 170.5048442757 -3.730208 5.000000
45 77.4297733517 226.5797733517 21.3548442757 170.5048442757 -3.732923 5.000000
50 79.2975356562 228.4475356562 21.3548442757 170.5048442757 -3.735070 5.000000
55 80.8269831977 229.9769831977 21.3548442757 170.5048442757 -3.736804 5.000000
60 82.0965035863 231.2465035863 21.3548442757 170.5048442757 -3.738228 5.000000
65 83.1655417026 232.3155417026 21.3548442757 170.5048442757 -3.739417 5.000000
69 13.0189435514 162.1689435514 13.0189435514 162.1689435514 -3.593231 5.000000
70 12.6344498455 161.7844498455 12.6344498455 161.7844498455 -3.587150 5.000000
75 12.6966988253 161.8466988253 12.6344498455 161.7844498455 -3.588378 5.000000
80 12.7764445963 161.9264445963 12.6344498455 161.7844498455 -3.589766 5.000000
85 12.8578205898 162.0078205898 12.6344498455 161.7844498455 -3.591032 5.000000
90 12.9293272421 162.0793272421 12.6344498455 161.7844498455 -3.592050 5.000000
93 12.4533944004 161.6033944004 12.4533944004 161.6033944004 -3.581791 5.000000
95 12.4601969313 161.6101969313 12.4533944004 161.6033944004 -3.582117 5.000000
100 12.4868274980 161.6368274980 12.4533944004 161.6033944004 -3.583204 5.000000
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 771.6938332328 920.8438332328 771.6938332328 920.8438332328 -1.286286 1.457809
5 191.1787442001 340.3287442001 191.1787442001 340.3287442001 -1.494738 0.197554
6 34.7872776345 183.9372776345 34.7872776345 183.9372776345 -1.811100 -0.236351
7 17.2421411374 166.3921411374 17.2421411374 166.3921411374 -1.901211 -0.283119
8 15.4114921060 164.5614921060 15.4114921060 164.5614921060 -1.915420 -0.285118
9 14.9280092495 164.0780092495 14.9280092495 164.0780092495 -1.919290 -0.285724
10 14.4026243836 163.5526243836 14.4026243836 163.5526243836 -1.920894 -0.290893
11 13.7927430793 162.9427430793 13.7927430793 162.9427430793 -1.921630 -0.299020
12 13.0998124138 162.2498124138 13.0998124138 162.2498124138 -1.921902 -0.309544
13 12.3634879682 161.5134879682 12.3634879682 161.5134879682 -1.921906 -0.321645
14 11.6027106239 160.7527106239 11.6027106239 160.7527106239 -1.921743 -0.334969
15 10.8114858358 159.9614858358 10.8114858358 159.9614858358 -1.921476 -0.349653
16 9.9834197288 159.1334197288 9.9834197288 159.1334197288 -1.921148 -0.365950
17 9.1407450020 158.2907450020 9.1407450020 158.2907450020 -1.920788 -0.383642
18 8.2490413604 157.3990413604 8.2490413604 157.3990413604 -1.920410 -0.403807
19 7.2874226421 156.4374226421 7.2874226421 156.4374226421 -1.920039 -0.427666
20 6.2987455537 155.4487455537 6.2987455537 155.4487455537 -1.919698 -0.455444
21 5.2528040265 154.4028040265 5.2528040265 154.4028040265 -1.919367 -0.490685
22 4.2474839986 153.3974839986 4.2474839986 153.3974839986 -1.919064 -0.536590
23 3.5442156542 152.6942156542 3.5442156542 152.6942156542 -1.918745 -0.598366
25 4.2003290593 153.3503290593 3.5442156542 152.6942156542 -1.917437 -0.712928
30 17.6236801205 166.7736801205 3.5442156542 152.6942156542 -1.913302 -1.010906
35 2.8250956702 151.9750956702 2.8250956702 151.9750956702 -1.733378 -0.901486
40 2.8730001758 152.0230001758 2.8250956702 151.9750956702 -1.732458 -0.887666
45 2.9726509214 152.1226509214 2.8250956702 151.9750956702 -1.731915 -0.872697
50 3.1032842315 152.2532842315 2.8250956702 151.9750956702 -1.731454 -0.859308
55 3.2487456000 152.3987456000 2.8250956702 151.9750956702 -1.731114 -0.847603
60 3.3986414928 152.5486414928 2.8250956702 151.9750956702 -1.730890 -0.837385
65 3.5463279738 152.6963279738 2.8250956702 151.9750956702 -1.730764 -0.828459
70 3.6890153688 152.8390153688 2.8250956702 151.9750956702 -1.730732 -0.820563
75 3.8239798362 152.9739798362 2.8250956702 151.9750956702 -1.730772 -0.813584
80 3.9508183037 153.1008183037 2.8250956702 151.9750956702 -1.730880 -0.807350
85 4.0680056341 153.2180056341 2.8250956702 151.9750956702 -1.731035 -0.801816
90 4.1781980611 153.3281980611 2.8250956702 151.9750956702 -1.731235 -0.796768
95 4.2786302987 153.4286302987 2.8250956702 151.9750956702 -1.731473 -0.792264
100 4.3711114431 153.5211114431 2.8250956702 151.9750956702 -1.731739 -0.788182
